PAYMENT_ID,SALES,PROFIT,DISCOUNT,TOTAL_PRICE
0,2570.87,-2211.17,0.5,28279.57
1,31.4,7.85,0.0,62.8
2,2875.77,-1783.08,0.5,25881.93
3,1741.8,261.24,0.0,6967.2
4,1601.64,587.19,0.1,8008.200000000001
5,3670.8,367.08,0.0,25695.600000000002
6,36.29,12.7,0.2,254.03
7,1900.95,589.2,0.0,9504.75
8,15.66,-12.53,0.7,78.3
9,4544.1,1868.13,0.1,49985.100000000006
10,1455.12,116.4,0.0,5820.48
11,1943.19,258.93,0.1,11659.14
12,2036.86,366.63,0.0,14258.019999999999
13,4355.17,1415.43,0.2,17420.68
14,1695.87,-37.83,0.1,8479.349999999999
15,1505.98,-265.76,0.15,9035.880000000001
16,1954.17,312.66,0.0,5862.51
17,449.57,-73.05,0.2,899.14
18,160.32,44.89,0.0,320.64
19,108.96,32.69,0.0,326.88
20,1213.19,508.01,0.002,8492.33
21,1590.6,572.55,0.0,7953.0
22,2330.64,1025.46,0.0,20975.76
23,3278.58,140.82,0.07,26228.64
24,3741.52,946.63,0.17,26190.64
25,67.8,31.19,0.0,678.0
26,3637.6,156.4,0.07,36376.0
27,221.98,62.15,0.0,443.96
28,3709.4,-288.77,0.1,33384.6
29,5175.17,919.97,0.1,46576.53
30,2892.51,-96.54,0.1,14462.550000000001
31,2832.96,311.52,0.0,22663.68
32,2862.68,763.28,0.1,14313.4
33,1822.08,564.84,0.0,7288.32
34,5244.84,996.48,0.0,31469.04
35,341.96,54.71,0.0,683.92
36,48.71,5.48,0.2,48.71
37,17.94,4.66,0.0,53.82000000000001
38,4626.15,647.55,0.0,23130.75
39,2616.96,1151.4,0.0,10467.84
40,2221.8,622.02,0.0,15552.600000000002
41,3701.52,1036.08,0.0,44418.24
42,1869.59,186.95,0.1,7478.36
43,12.62,-2.52,0.2,25.24
44,7958.58,3979.08,0.0,111420.12
45,2565.59,28.4,0.1,23090.31
46,3409.74,818.28,0.0,20458.44
47,1977.72,276.84,0.0,7910.88
48,242.94,4.86,0.0,728.8199999999999
49,2754.0,358.02,0.0,16524.0
50,5273.7,1898.4,0.0,52737.0
51,1713.84,445.52,0.0,6855.36
52,2106.5,526.5,0.2,16852.0
53,1715.16,720.36,0.0,3430.32
54,3069.74,1364.24,0.1,18418.44
55,247.84,121.44,0.0,1982.72
56,1878.72,582.36,0.0,7514.88
57,1696.64,-148.46,0.2,8483.2
58,2402.87,763.16,0.15,21625.829999999998
59,668.16,75.17,0.2,6013.44
60,2526.93,561.48,0.1,12634.65
61,323.1,61.39,0.0,646.2
62,3817.26,1068.66,0.0,22903.56
63,279.46,20.96,0.2,1676.7599999999998
64,34.77,11.47,0.0,104.31
65,4141.02,1697.67,0.0,53833.26000000001
66,2875.1,511.1,0.1,14375.5
67,3200.6,-77.2,0.17,19203.6
68,4518.78,632.52,0.0,31631.46
69,5667.87,2097.03,0.0,73682.31
70,5785.02,404.73,0.0,52065.18000000001
71,3018.62,377.24,0.2,21130.34
72,86.45,38.04,0.0,605.15
73,2092.5,720.75,0.1,10462.5
