DATE_ID,ORDER_DATE,SHIP_DATE,YEAR,DAY_NAME,DELIVERY_DAYS,SHIPPING_COST
0,2014-03-13,2014-03-13,2014,Thursday,0 days,520.89
1,2014-03-29,2014-04-01,2014,Saturday,3 days,3.81
2,2013-04-05,2013-04-05,2013,Friday,0 days,516.63
3,2013-12-26,2013-12-28,2013,Thursday,2 days,515.24
4,2014-04-18,2014-04-19,2014,Friday,1 days,511.47
5,2012-05-23,2012-05-25,2012,Wednesday,2 days,510.72
6,2015-08-02,2015-08-08,2015,Sunday,6 days,1.99
7,2014-05-16,2014-05-20,2014,Friday,4 days,506.89
8,2015-01-03,2015-01-05,2015,Saturday,2 days,1.56
9,2012-02-16,2012-02-19,2012,Thursday,3 days,506.27
10,2014-05-31,2014-06-02,2014,Saturday,2 days,504.56
11,2014-10-01,2014-10-02,2014,Wednesday,1 days,499.62
12,2015-11-07,2015-11-14,2015,Saturday,7 days,524.76
13,2014-09-02,2014-09-04,2014,Tuesday,2 days,82.67
14,2014-12-11,2014-12-14,2014,Thursday,3 days,498.62
15,2015-03-18,2015-03-21,2015,Wednesday,3 days,498.52
16,2015-12-19,2015-12-20,2015,Saturday,1 days,498.38
17,2014-03-14,2014-03-19,2014,Friday,5 days,13.75
18,2015-09-18,2015-09-18,2015,Friday,0 days,493.409
19,2014-11-25,2014-11-27,2014,Tuesday,2 days,493.2
20,2014-11-07,2014-11-10,2014,Friday,3 days,492.79
21,2015-07-19,2015-07-23,2015,Sunday,4 days,492.28
22,2013-08-16,2013-08-16,2013,Friday,0 days,491.91
23,2015-11-06,2015-11-08,2015,Friday,2 days,7.97
24,2013-01-10,2013-01-14,2013,Thursday,4 days,487.86
25,2014-11-11,2014-11-13,2014,Tuesday,2 days,40.77
26,2014-02-05,2014-02-07,2014,Wednesday,2 days,923.63
27,2014-10-17,2014-10-18,2014,Friday,1 days,915.49
28,2014-01-28,2014-01-30,2014,Tuesday,2 days,910.16
29,2014-11-05,2014-11-06,2014,Wednesday,1 days,903.04
30,2014-06-28,2014-07-01,2014,Saturday,3 days,897.35
31,2012-11-06,2012-11-08,2012,Tuesday,2 days,894.77
32,2013-04-14,2013-04-18,2013,Sunday,4 days,878.38
33,2012-03-06,2012-03-07,2012,Tuesday,1 days,11.13
34,2013-04-19,2013-04-22,2013,Friday,3 days,835.57
35,2012-12-26,2012-12-28,2012,Wednesday,2 days,832.41
36,2013-11-13,2013-11-13,2013,Wednesday,0 days,810.25
37,2014-06-06,2014-06-08,2014,Friday,2 days,804.54
38,2015-07-31,2015-08-03,2015,Friday,3 days,801.66
39,2012-02-19,2012-02-25,2012,Sunday,6 days,1.97
40,2015-09-08,2015-09-14,2015,Tuesday,6 days,778.32
41,2015-01-31,2015-02-01,2015,Saturday,1 days,766.93
42,2015-12-05,2015-12-07,2015,Saturday,2 days,763.38
43,2013-08-08,2013-08-10,2013,Thursday,2 days,759.47
44,2012-05-01,2012-05-02,2012,Tuesday,1 days,752.47
45,2014-02-27,2014-03-01,2014,Thursday,2 days,730.91
46,2015-07-31,2015-08-01,2015,Friday,1 days,728.968
47,2015-09-05,2015-09-08,2015,Saturday,3 days,728.389
48,2012-12-16,2012-12-19,2012,Sunday,3 days,725.57
49,2012-03-13,2012-03-16,2012,Tuesday,3 days,725.34
50,2012-04-21,2012-04-23,2012,Saturday,2 days,55.2
51,2013-02-24,2013-02-24,2013,Sunday,0 days,704.08
52,2012-12-27,2012-12-29,2012,Thursday,2 days,704.056
53,2013-07-17,2013-07-19,2013,Wednesday,2 days,699.55
54,2013-12-27,2013-12-31,2013,Friday,4 days,45.74
55,2012-11-02,2012-11-04,2012,Friday,2 days,689.8
56,2012-09-13,2012-09-14,2012,Thursday,1 days,678.15
57,2012-05-12,2012-05-18,2012,Saturday,6 days,11.69
58,2012-12-30,2012-12-31,2012,Sunday,1 days,8.22
59,2015-01-14,2015-01-18,2015,Wednesday,4 days,668.96
60,2012-01-10,2012-01-11,2012,Tuesday,1 days,665.27
61,2014-08-22,2014-08-26,2014,Friday,4 days,660.87
62,2015-11-11,2015-11-15,2015,Wednesday,4 days,658.69
63,2015-09-26,2015-09-28,2015,Saturday,2 days,658.35
64,2013-12-13,2013-12-17,2013,Friday,4 days,656.73
65,2012-09-22,2012-09-24,2012,Saturday,2 days,655.91
66,2014-03-21,2014-03-26,2014,Friday,5 days,5.73
67,2014-03-08,2014-03-08,2014,Saturday,0 days,652.98
68,2015-08-28,2015-08-29,2015,Friday,1 days,644.75
69,2015-05-01,2015-05-01,2015,Friday,0 days,637.86
70,2015-12-18,2015-12-20,2015,Friday,2 days,634.529
71,2012-10-24,2012-10-27,2012,Wednesday,3 days,2.84
72,2015-09-18,2015-09-21,2015,Friday,3 days,630.97
73,2014-12-18,2014-12-18,2014,Thursday,0 days,627.17
74,2013-05-30,2013-05-31,2013,Thursday,1 days,625.77
75,2013-05-25,2013-05-28,2013,Saturday,3 days,616.27
76,2015-08-05,2015-08-06,2015,Wednesday,1 days,614.34
77,2015-03-11,2015-03-13,2015,Wednesday,2 days,609.24
78,2015-12-19,2015-12-23,2015,Saturday,4 days,1.13
79,2015-08-11,2015-08-16,2015,Tuesday,5 days,604.4
80,2014-08-31,2014-09-03,2014,Sunday,3 days,600.21
81,2015-01-18,2015-01-23,2015,Sunday,5 days,595.5
82,2015-12-07,2015-12-08,2015,Monday,1 days,593.91
83,2015-12-16,2015-12-19,2015,Wednesday,3 days,592.77
84,2015-11-20,2015-11-20,2015,Friday,0 days,592.726
85,2012-11-08,2012-11-10,2012,Thursday,2 days,590.56
86,2014-06-07,2014-06-09,2014,Saturday,2 days,589.36
87,2012-11-21,2012-11-22,2012,Wednesday,1 days,589.293
88,2014-03-29,2014-03-31,2014,Saturday,2 days,588.13
89,2015-08-26,2015-08-27,2015,Wednesday,1 days,586.57
90,2013-09-20,2013-09-22,2013,Friday,2 days,585.25
91,2015-05-16,2015-05-18,2015,Saturday,2 days,581.88
92,2014-11-24,2014-11-25,2014,Monday,1 days,580.98
93,2012-11-08,2012-11-10,2012,Thursday,2 days,576.71
94,2012-10-27,2012-10-27,2012,Saturday,0 days,573.27
95,2015-11-19,2015-11-23,2015,Thursday,4 days,572.95
96,2015-10-28,2015-10-30,2015,Wednesday,2 days,568.45
97,2014-09-26,2014-09-28,2014,Friday,2 days,43.01
